20	5697.04743
20.01	5469.5416
20.02	5471.95028
20.03	5601.7094
20.04	5808.08078
20.05	6041.2587
20.06	6129.0598
20.07	6152.91372
20.08	6118.57032
20.09	6003.9627
20.1	5932.63404
20.11	5882.98369
20.12	5812.1212
20.13	5703.41879
20.14	5638.07301
20.15	5576.45685
20.16	5629.4483
20.17	5827.11729
20.18	6103.96268
20.19	6317.4825
20.2	6306.37142
20.21	6376.06841
20.22	6324.63096
20.23	6212.43204
20.24	6032.71175
20.25	5746.62006
20.26	5606.13829
20.27	5533.72183
20.28	5646.77543
20.29	5665.96734
20.3	5432.71171
20.31	5428.04973
20.32	5449.02874
20.33	5452.13676
20.34	5517.24943
20.35	5434.11033
20.36	5428.90442
20.37	5358.04196
20.38	5400.9324
20.39	5326.65112
20.4	5378.78789
20.41	5425.48565
20.42	5573.73739
20.43	5738.30616
20.44	5896.19272
20.45	5875.44679
20.46	5943.97827
20.47	5756.95417
20.48	5683.9938
20.49	5611.88813
20.5	5835.97516
20.51	5877.54469
20.52	5950.03887
20.53	6028.36055
20.54	6056.95418
20.55	6048.48486
20.56	6033.64413
20.57	5839.00541
20.58	5828.59359
20.59	5751.28201
20.6	5829.7591
20.61	5827.73892
20.62	5748.95107
20.63	5776.2238
20.64	5689.27742
20.65	5670.08548
20.66	5688.57808
20.67	5660.91685
20.68	5670.00775
20.69	5699.14526
20.7	5822.53297
20.71	5809.86786
20.72	5744.8329
20.73	5704.27348
20.74	5627.50583
20.75	5701.3986
20.76	5664.49108
20.77	5579.09871
20.78	5602.71952
20.79	5728.12743
20.8	5839.86014
20.81	5865.19037
20.82	5885.78088
20.83	5919.81353
20.84	5842.26888
20.85	5793.78403
20.86	5714.14144
20.87	5652.36988
20.88	5652.36987
20.89	5538.07304
20.9	5415.2292
20.91	5428.3605
20.92	5481.89584
20.93	5413.75288
20.94	5232.09011
20.95	5182.36206
20.96	5383.52757
20.97	5525.56334
20.98	5769.07538
20.99	5824.32013
21	5958.04196
21.01	6088.1896
21.02	6173.03807
21.03	6011.03341
21.04	5728.82673
21.05	5579.56489
21.06	5478.55481
21.07	5267.83219
21.08	5210.25643
21.09	5099.76692
21.1	5267.44371
21.11	5374.98059
21.12	5561.84927
21.13	5702.40871
21.14	5797.66901
21.15	5989.04428
21.16	5874.51438
21.17	5758.43046
21.18	5555.40016
21.19	5480.03109
21.2	5523.23234
21.21	5515.92853
21.22	5536.67446
21.23	5563.17017
